"word" "root" "prob" "freq"
"192" "also" "is" 0.00778693570834251 2087
"193" "buy" "to" 0.00302767914736836 2084
"194" "years" "for" 0.0075495175585406 2075
"195" "morning" "good" 0.0463684766248062 2064
"196" "many" "how" 0.047202436845842 2061
"197" "mean" "i" 0.00501776566863738 2059
"198" "never" "i" 0.00501045469388949 2056
"199" "mom" "my" 0.0135739698385726 2045
"200" "huge" "a" 0.00343966768969548 2042
"201" "dont" "we" 0.0195108414827857 2039
"202" "chance" "a" 0.0034329298489713 2038
"203" "order" "in" 0.00495144569088103 2037
"204" "got" "just" 0.0268384539147671 2031
"205" "stop" "to" 0.00294777398752898 2029
"206" "national" "the" 0.00170092275898394 2028
"207" "read" "to" 0.002946321166441 2028
"208" "found" "i" 0.00493247096324529 2024
"209" "one" "in" 0.00491984589020285 2024
"210" "jersey" "new" 0.0415665496067197 2024
"211" "first" "my" 0.0134146665250637 2021
"212" "night" "the" 0.00169253556589231 2018
"213" "time" "a" 0.00339755618516934 2017
"214" "future" "the" 0.00168834196934649 2013
"215" "back" "the" 0.00167827733763652 2001
"216" "going" "are" 0.01624633908233 1997
"217" "final" "the" 0.00167324502178154 1995
"218" "front" "in" 0.00484449251935488 1993
"219" "word" "the" 0.00167156758316321 1993
"220" "also" "i" 0.00480087341778321 1970
"221" "dont" "they" 0.0242535928958369 1961
"222" "week" "next" 0.102603048237574 1959
"223" "stay" "to" 0.0028431708691938 1957
"224" "knew" "i" 0.00475700756929586 1952
"225" "idea" "the" 0.0016279541790867 1941
"226" "see" "you" 0.00824033165632369 1936
"227" "show" "to" 0.00277488827805833 1910
"228" "going" "was" 0.0122327493857967 1907
"229" "road" "the" 0.00159272796810183 1899
"230" "better" "a" 0.0031937365032628 1896
"231" "said" "i" 0.00461809904908588 1895
"232" "will" "and" 0.00314390162844799 1892
"233" "longer" "no" 0.0383420320464653 1888
"234" "share" "to" 0.00273275646650666 1881
"235" "public" "the" 0.00156924382744524 1871
"236" "school" "the" 0.00156672766951775 1868
"237" "nice" "a" 0.00313983377746933 1864
"238" "day" "every" 0.114134774863321 1858
"239" "man" "the" 0.00155750175711695 1857
"240" "follow" "to" 0.00268336054951505 1847
"241" "just" "not" 0.0180746484941057 1846
"242" "luck" "good" 0.0411565160739559 1832
"243" "live" "to" 0.00265720976993125 1829
"244" "write" "to" 0.00265575694884326 1828
"245" "kids" "the" 0.00153234017784204 1827
"246" "time" "of" 0.00363603707879743 1822
"247" "great" "the" 0.00152814658129622 1822
"248" "made" "i" 0.00441339175614487 1811
"249" "like" "would" 0.0352171627698717 1809
"250" "learn" "to" 0.00262670052708349 1808
"251" "create" "to" 0.00261362513729159 1799
"252" "day" "all" 0.0217404476544796 1794
"253" "doesnt" "it" 0.00785155650973777 1792
"254" "bring" "to" 0.00258602153661981 1780
"255" "one" "only" 0.056113426803082 1777
"256" "day" "one" 0.0243359466821532 1760
"257" "entire" "the" 0.00147530726481891 1759
"258" "old" "the" 0.00147111366827309 1754
"259" "just" "you" 0.00744864690008598 1750
"260" "new" "my" 0.0115826784197111 1745
"261" "seems" "it" 0.00763686551142463 1743
"262" "years" "two" 0.0605309116311561 1733
"263" "third" "the" 0.00145266184347149 1732
"264" "morning" "the" 0.00144259721176153 1720
"265" "move" "to" 0.0024973994502525 1719
"266" "see" "can" 0.0278834585243716 1715
"267" "one" "and" 0.00284812229976736 1714
"268" "like" "look" 0.106868320729954 1710
"269" "will" "he" 0.0159299345718067 1697
"270" "change" "to" 0.00245526763870083 1690
"271" "sure" "im" 0.0273948104311634 1685
"272" "good" "the" 0.00141072587801331 1682
"273" "large" "a" 0.00283157756433796 1681
"274" "even" "and" 0.00279162512462612 1680
"275" "just" "its" 0.0188423189511109 1680
"276" "one" "that" 0.00643293292523494 1673
"277" "says" "he" 0.0156389339991927 1666
"278" "year" "next" 0.086471481694862 1651
"279" "hour" "an" 0.02210664946514 1645
"280" "like" "just" 0.0217376940865543 1645
"281" "eat" "to" 0.00238989068974134 1645
"282" "leave" "to" 0.00237100401559749 1632
"283" "whole" "a" 0.00274398563492358 1629
"284" "can" "it" 0.00712423598484019 1626
"285" "mind" "my" 0.0107529736618522 1620
"286" "season" "this" 0.0118578817444458 1614
"287" "head" "my" 0.0106998725573492 1612
"288" "couldnt" "i" 0.00392355644803603 1610
"289" "just" "it" 0.00704975135277236 1609
"290" "friend" "a" 0.00270692751094057 1607
"291" "single" "a" 0.00270524305075952 1606
"292" "bad" "a" 0.00270018967021639 1603
"293" "got" "we" 0.0153196945629916 1601
"294" "different" "a" 0.00269008290913011 1597
"295" "real" "the" 0.00133775729811607 1595
"296" "always" "i" 0.00387969059954867 1592
"297" "believe" "i" 0.00386994263321814 1588
"298" "heart" "my" 0.0105140186915888 1584
"299" "wasnt" "it" 0.00693583368019804 1583
"300" "may" "you" 0.00673357679767772 1582
"301" "matter" "no" 0.0320667736236063 1579
"302" "sun" "the" 0.00131427315745949 1567
"303" "ball" "the" 0.00131091828022283 1563
"304" "comes" "it" 0.00680877166078822 1554
"305" "states" "the" 0.00130169236782203 1552
"306" "new" "of" 0.00308723894670671 1547
"307" "love" "in" 0.00375065326511017 1543
"308" "car" "the" 0.00129414389403956 1543
"309" "government" "the" 0.00129246645542123 1541
"310" "family" "the" 0.00129162773611207 1540
"311" "month" "a" 0.00259069975844841 1538
"312" "sleep" "to" 0.00223153319115058 1536
"313" "example" "for" 0.0055811855107476 1534
"314" "thats" "and" 0.00254735792622134 1533
"315" "movie" "the" 0.00128324054302043 1530
"316" "going" "not" 0.0149610308228567 1528
"317" "francisco" "san" 0.313371616078753 1528
"318" "main" "the" 0.0012815631044021 1528
"319" "felt" "i" 0.00371884915509502 1526
"320" "run" "to" 0.00221409933809471 1524
"321" "just" "im" 0.024744748650582 1522
"322" "number" "the" 0.00127485334992879 1520
"323" "real" "a" 0.00255869501500854 1519
"324" "friend" "my" 0.0100825722175021 1519
"325" "life" "your" 0.0199129057798892 1509
"326" "worst" "the" 0.00126394999890966 1507
"327" "american" "the" 0.00125975640236385 1502
"328" "can" "that" 0.00577156743620899 1501
"329" "friends" "my" 0.00995645709430756 1500
"330" "point" "the" 0.00125724024443636 1499
"331" "law" "the" 0.00125304664789054 1494
"332" "door" "the" 0.00125220792858137 1493
"333" "make" "and" 0.00247424393486208 1489
"334" "first" "his" 0.0198007952233407 1489
"335" "say" "i" 0.00361405851704188 1483
"336" "love" "would" 0.0288122724706524 1480
"337" "know" "me" 0.0161399671951886 1476
"338" "time" "same" 0.101019779618096 1476
"339" "media" "social" 0.290647198105762 1473
"340" "st" "the" 0.00123291738447061 1470
"341" "weekend" "the" 0.00123207866516145 1469
"342" "biggest" "the" 0.00123207866516145 1469
"343" "friday" "on" 0.00719950172385889 1468
"344" "second" "a" 0.00247110308559416 1467
"345" "work" "at" 0.0103047885305667 1467
"346" "us" "with" 0.00821228706032614 1466
"347" "time" "long" 0.0959334686660991 1465
"348" "life" "of" 0.00292160169229388 1464
"349" "going" "were" 0.0266273267038211 1462
"350" "still" "are" 0.011877643996095 1460
"351" "week" "the" 0.00122285275276064 1458
"352" "name" "the" 0.00122201403345148 1457
"353" "let" "to" 0.00211676032519947 1457
"354" "im" "that" 0.00559084547118446 1454
"355" "bottom" "the" 0.00121949787552399 1454
"356" "woman" "a" 0.00244415172269743 1451
"357" "university" "the" 0.00120943324381403 1442
"358" "started" "i" 0.00350439389582348 1438
"359" "bit" "little" 0.0689090208172706 1430
"360" "wonderful" "a" 0.00240709359871442 1429
"361" "get" "dont" 0.0322398445619267 1427
"362" "money" "the" 0.00119685245417657 1427
"363" "problem" "the" 0.00119601373486741 1426
"364" "truth" "the" 0.00119517501555824 1425
"365" "things" "the" 0.00119098141901242 1420
"366" "back" "go" 0.0405792945225122 1415
"367" "might" "i" 0.00344834308942297 1415
"368" "just" "and" 0.00233964772349618 1408
"369" "time" "every" 0.0863689415811782 1406
"370" "like" "dont" 0.0316976187248656 1403
"371" "film" "the" 0.00117588447144748 1402
"372" "like" "is" 0.00521616488752411 1398
"373" "wife" "his" 0.0185773746991316 1397
"374" "excited" "so" 0.0145105422470017 1395
"375" "people" "many" 0.0626207268316787 1394
"376" "one" "was" 0.00892278678324235 1391
"377" "thing" "one" 0.0191230762848965 1383
"378" "can" "he" 0.0129354448084559 1378
"379" "spend" "to" 0.00200053463816038 1377
"380" "see" "and" 0.00227650382186773 1370
"381" "remember" "i" 0.00333867846820457 1370
"382" "even" "not" 0.0134042219872322 1369
"383" "people" "some" 0.0270259599249827 1369
"384" "moment" "the" 0.00114820673424508 1369
"385" "check" "to" 0.00198745924836848 1368
"386" "back" "come" 0.0655533160572032 1366
"387" "federal" "the" 0.00114317441839009 1363
"388" "might" "you" 0.00580143184275268 1363
"389" "decided" "i" 0.00331674554396089 1361
"390" "saturday" "on" 0.00666983810929707 1360
"391" "make" "can" 0.0220954053263096 1359
"392" "book" "a" 0.00228412800549808 1356
"393" "monday" "on" 0.00664531664565995 1355
"394" "know" "didnt" 0.0791072680532835 1354
"395" "board" "the" 0.00113478722529846 1353
"396" "will" "there" 0.0256824883477599 1350
"397" "us" "to" 0.00196130846878469 1350
"398" "get" "we" 0.0128987809312384 1348
"399" "wasnt" "i" 0.00328019067022142 1346
"400" "beautiful" "a" 0.00226391448332553 1344
"401" "want" "we" 0.0128605056169024 1344
"402" "game" "a" 0.00225886110278239 1341
"403" "ask" "to" 0.00194242179464083 1337
"404" "long" "as" 0.0110435856831353 1332
"405" "become" "to" 0.0019337048681129 1331
"406" "air" "the" 0.0011129805232602 1327
"407" "place" "a" 0.00223190973988566 1325
"408" "ground" "the" 0.00111130308464188 1325
"409" "diego" "san" 0.270918785890074 1321
"410" "also" "he" 0.0123909921242103 1320
"411" "time" "its" 0.0147598165117035 1316
"412" "wanna" "i" 0.00320220693957723 1314
"413" "top" "on" 0.006414814887471 1308
"414" "many" "too" 0.0451267897188201 1308
"415" "go" "you" 0.00554179329366397 1302
"416" "street" "the" 0.00109117382122195 1301
"417" "free" "a" 0.00218811377517847 1299
"418" "addition" "in" 0.00315511856002139 1298
"419" "front" "the" 0.00108865766329446 1298
"420" "idea" "no" 0.0262586056335168 1293
"421" "original" "the" 0.00108362534743947 1292
"422" "know" "we" 0.0123629265305341 1292
"423" "also" "but" 0.0108000033462443 1291
"424" "good" "is" 0.00481319935973255 1290
"425" "happened" "what" 0.0186332712224293 1290
"426" "white" "the" 0.00108110918951198 1289
"427" "back" "get" 0.0228252194732642 1287
"428" "didnt" "he" 0.0120812173211051 1287
"429" "job" "a" 0.00216621579282487 1286
"430" "call" "to" 0.00186106381371347 1281
"431" "build" "to" 0.00185379970827353 1276
"432" "good" "so" 0.0132207162694904 1271
"433" "one" "for" 0.00462066857799834 1270
"434" "following" "for" 0.00461703025628338 1269
"435" "told" "i" 0.0030901053267762 1268
"436" "field" "the" 0.00106181864540122 1266
"437" "month" "last" 0.0403521643433602 1265
"438" "love" "you" 0.00534600028943314 1256
"439" "water" "the" 0.00105259273300042 1255
"440" "person" "a" 0.00210894414666932 1252
"441" "beginning" "the" 0.00105007657507293 1252
"442" "always" "is" 0.00465649054336916 1248
"443" "find" "i" 0.00303649151195832 1246
"444" "wont" "i" 0.00303405452037569 1245
"445" "never" "will" 0.0158471337579618 1244
"446" "event" "the" 0.00104252810129045 1243
"447" "took" "i" 0.00302430655404516 1241
"448" "lord" "the" 0.00104085066267213 1241
"449" "special" "a" 0.00208199278377258 1236
"450" "process" "the" 0.00103665706612631 1236
"451" "sure" "be" 0.00904304783662471 1235
"452" "go" "i" 0.00300724761296674 1234
"453" "area" "the" 0.00103414090819882 1233
"454" "got" "you" 0.00522256556937457 1227
"455" "amazing" "an" 0.0164758372305542 1226
"456" "days" "few" 0.0827474310438075 1224
"457" "latest" "the" 0.00102407627648885 1221
"458" "group" "the" 0.00102323755717969 1220
"459" "day" "great" 0.0398190935011307 1215
"460" "following" "the" 0.00101652780270638 1212
"461" "wonder" "i" 0.0029487598149836 1210
"462" "gonna" "im" 0.0196722377576901 1210
"463" "floor" "the" 0.00101317292546972 1208
"464" "just" "we" 0.0115495761008937 1207
"465" "group" "a" 0.00203145897834121 1206
"466" "said" "and" 0.00200232635427052 1205
"467" "former" "a" 0.00202809005797912 1204
"468" "makes" "it" 0.00527526452998006 1204
"469" "feel" "you" 0.00512041269760196 1203
"470" "takes" "it" 0.0052577387341994 1200
"471" "county" "the" 0.00100562445168725 1199
"472" "work" "the" 0.00100478573237809 1198
"473" "care" "health" 0.197818542389688 1197
"474" "current" "the" 0.00100394701306892 1197
"475" "time" "next" 0.0626407583931284 1196
"476" "add" "to" 0.00173757402123443 1196
"477" "days" "these" 0.0575349061145883 1195
"478" "go" "lets" 0.17259837962963 1193
"479" "month" "this" 0.00872810626542847 1188
"480" "like" "its" 0.0133129955922432 1187
"481" "provide" "to" 0.00172449863144254 1187
"482" "power" "the" 0.000994721100668124 1186
"483" "family" "my" 0.00785232582837723 1183
"484" "favorite" "your" 0.015571390868303 1180
"485" "really" "is" 0.00439904034505789 1179
"486" "number" "a" 0.00198429409327193 1178
"487" "little" "the" 0.000988011346194814 1178
"488" "want" "they" 0.0145694708981621 1178
"489" "way" "my" 0.00779258708581139 1174
"490" "summer" "the" 0.000982140311030669 1171
"491" "husband" "my" 0.00769966015293118 1160
"492" "citys" "the" 0.000972075679320704 1159
"493" "summer" "this" 0.0085003526507582 1157
"494" "old" "year" 0.0397089611147338 1157
"495" "child" "a" 0.00194723596928892 1156
"496" "internet" "the" 0.000969559521393213 1156
"497" "forget" "dont" 0.0260720256653563 1154
"498" "get" "will" 0.0146624203821656 1151
"499" "major" "a" 0.00193712920820265 1150
"500" "rt" "the" 0.000963688486229068 1149
"501" "person" "the" 0.000961172328301577 1146
"502" "place" "the" 0.000960333608992413 1145
"503" "pick" "to" 0.00166202732465902 1144
"504" "one" "to" 0.00166202732465902 1144
"505" "also" "was" 0.0073319520440302 1143
"506" "part" "a" 0.00192365352675428 1142
"507" "pretty" "a" 0.00192028460639219 1140
